procurement_id,procurement_year,agency_code,agency_name,project_name,procurement_category,estimated_cost,actual_cost,procurement_method,vendor_code,vendor_name,contract_start_date,contract_end_date,procurement_status
105242,2024,AG13,Sindh Education Department,School Renovation Program,Services,9401560,,Direct,V220,Vendor Company 220,6/19/2024,12/25/2024,Ongoing
105243,2020,AG03,Ministry of Education,IT Infrastructure Upgrade,Goods,18549502,23026474,Open,V444,Vendor Company 444,8/17/2020,2/20/2021,Completed
105244,2020,AG25,Pakistan Post,Road Construction Project,Works,236647,261102,Open,V445,Vendor Company 445,2/7/2020,10/5/2020,Completed
105245,2023,AG30,National Database Authority,Power Grid Maintenance,Services,9740183,,Limited,V414,Vendor Company 414,4/13/2023,7/28/2023,Ongoing
105246,2018,AG02,Ministry of Finance,IT Infrastructure Upgrade,Goods,9658065,,Limited,V222,Vendor Company 222,9/27/2018,12/29/2018,Ongoing
105247,2023,AG23,WAPDA,Public Transport Improvement,Goods,13421802,,Direct,V458,Vendor Company 458,5/19/2023,12/25/2023,Ongoing
105248,2018,AG04,Ministry of Transport,Power Grid Maintenance,Goods,4484530,5070319,Open,V012,Vendor Company 12,8/1/2018,5/28/2019,Completed
105249,2018,AG05,Ministry of Energy,Power Grid Maintenance,Works,10268049,,Direct,V106,Vendor Company 106,8/11/2018,10/23/2018,Ongoing
105250,2024,AG21,Capital Development Authority,Hospital Equipment Purchase,Goods,7954766,,Open,V125,Vendor Company 125,11/19/2024,3/14/2025,Ongoing
105251,2022,AG29,Election Commission,Power Grid Maintenance,Services,10583341,,Open,V500,Vendor Company 500,1/28/2022,5/13/2022,Ongoing
105252,2019,AG06,Ministry of IT,School Renovation Program,Services,12587536,14652500,Open,V420,Vendor Company 420,4/4/2019,11/27/2019,Completed
105253,2024,AG29,Election Commission,Hospital Equipment Purchase,Works,14133387,,Limited,V365,Vendor Company 365,11/5/2024,4/15/2025,Ongoing
105254,2022,AG22,National Highway Authority,School Renovation Program,Works,5872714,,Direct,V221,Vendor Company 221,11/22/2022,6/10/2023,Ongoing
105255,2020,AG14,Sindh Works Department,IT Infrastructure Upgrade,Goods,14628267,17840051,Limited,V092,Vendor Company 92,11/22/2020,5/22/2021,Completed
105256,2019,AG24,Pakistan Railways,Power Grid Maintenance,Services,15325200,15922685,Open,V179,Vendor Company 179,6/24/2019,1/8/2020,Completed
105257,2022,AG03,Ministry of Education,Road Construction Project,Services,11129995,,Direct,V256,Vendor Company 256,3/14/2022,8/16/2022,Ongoing
105258,2019,AG13,Sindh Education Department,Public Transport Improvement,Goods,497585,641670,Limited,V072,Vendor Company 72,11/7/2019,5/7/2020,Completed
105259,2024,AG12,Sindh Health Department,Public Transport Improvement,Works,15097660,17978137,Open,V020,Vendor Company 20,4/2/2024,11/3/2024,Completed
105260,2024,AG10,Punjab Education Department,Hospital Equipment Purchase,Goods,1878131,,Direct,V373,Vendor Company 373,9/4/2024,4/28/2025,Ongoing
105261,2022,AG24,Pakistan Railways,Road Construction Project,Works,6522279,8088287,Direct,V090,Vendor Company 90,3/20/2022,10/22/2022,Completed
105262,2020,AG15,KPK Health Department,Hospital Equipment Purchase,Works,7535258,9114117,Direct,V067,Vendor Company 67,12/18/2020,5/6/2021,Completed
105263,2024,AG29,Election Commission,IT Infrastructure Upgrade,Goods,4276980,,Open,V268,Vendor Company 268,7/3/2024,9/27/2024,Ongoing
105264,2021,AG04,Ministry of Transport,Road Construction Project,Goods,9147952,9138812,Limited,V307,Vendor Company 307,12/4/2021,5/28/2022,Completed
105265,2024,AG06,Ministry of IT,Power Grid Maintenance,Goods,12427045,,Open,V007,Vendor Company 7,5/5/2024,1/27/2025,Ongoing
105266,2019,AG12,Sindh Health Department,School Renovation Program,Goods,10929947,13933932,Open,V485,Vendor Company 485,12/1/2019,9/12/2020,Completed
105267,2020,AG03,Ministry of Education,Power Grid Maintenance,Services,15160554,,Direct,V436,Vendor Company 436,2/12/2020,10/28/2020,Ongoing
105268,2018,AG09,Punjab Health Department,Public Transport Improvement,Works,4380989,,Limited,V421,Vendor Company 421,3/28/2018,12/24/2018,Ongoing
105269,2023,AG21,Capital Development Authority,Road Construction Project,Goods,10064754,,Direct,V422,Vendor Company 422,4/11/2023,12/11/2023,Ongoing
105270,2019,AG15,KPK Health Department,Hospital Equipment Purchase,Works,4676234,,Open,V393,Vendor Company 393,1/9/2019,10/30/2019,Ongoing
105271,2023,AG05,Ministry of Energy,IT Infrastructure Upgrade,Works,2757020,3043632,Open,V016,Vendor Company 16,3/25/2023,8/14/2023,Completed
105272,2023,AG02,Ministry of Finance,Hospital Equipment Purchase,Works,19776656,23715178,Direct,V182,Vendor Company 182,4/16/2023,8/26/2023,Completed
105273,2021,AG15,KPK Health Department,Hospital Equipment Purchase,Goods,3436980,,Open,V459,Vendor Company 459,1/16/2021,10/18/2021,Ongoing
105274,2021,AG15,KPK Health Department,IT Infrastructure Upgrade,Works,8439650,8415957,Open,V026,Vendor Company 26,1/5/2021,8/18/2021,Completed
105275,2019,AG17,KPK Works Department,IT Infrastructure Upgrade,Services,9352616,,Limited,V184,Vendor Company 184,7/2/2019,9/20/2019,Ongoing
105276,2021,AG14,Sindh Works Department,Power Grid Maintenance,Goods,13787749,14618957,Open,V054,Vendor Company 54,7/28/2021,11/9/2021,Completed
105277,2019,AG30,National Database Authority,Power Grid Maintenance,Goods,16991927,,Direct,V155,Vendor Company 155,9/19/2019,11/22/2019,Ongoing
105278,2023,AG18,Balochistan Health Department,IT Infrastructure Upgrade,Works,19489105,21889187,Direct,V220,Vendor Company 220,12/19/2023,10/10/2024,Completed
105279,2022,AG26,Higher Education Commission,School Renovation Program,Services,5901460,,Open,V245,Vendor Company 245,11/17/2022,2/14/2023,Ongoing
105280,2023,AG14,Sindh Works Department,Power Grid Maintenance,Services,11377499,14278306,Limited,V170,Vendor Company 170,1/7/2023,6/28/2023,Completed
105281,2019,AG04,Ministry of Transport,Public Transport Improvement,Services,18491665,22178270,Direct,V301,Vendor Company 301,1/28/2019,8/9/2019,Completed
105282,2024,AG12,Sindh Health Department,Hospital Equipment Purchase,Services,13479973,16196789,Direct,V138,Vendor Company 138,7/16/2024,9/23/2024,Completed
105283,2021,AG04,Ministry of Transport,Hospital Equipment Purchase,Works,13547376,,Limited,V257,Vendor Company 257,1/3/2021,7/23/2021,Ongoing
105284,2018,AG08,Ministry of Planning,Hospital Equipment Purchase,Works,13360045,14925643,Direct,V342,Vendor Company 342,7/13/2018,11/28/2018,Completed
105285,2018,AG20,Balochistan Planning Dept,Public Transport Improvement,Works,19344725,21269010,Open,V254,Vendor Company 254,8/18/2018,4/20/2019,Completed
105286,2024,AG19,Balochistan Education Department,Hospital Equipment Purchase,Goods,9750971,11121777,Open,V401,Vendor Company 401,7/9/2024,9/14/2024,Completed
105287,2021,AG05,Ministry of Energy,Hospital Equipment Purchase,Services,6030402,7384676,Open,V439,Vendor Company 439,4/1/2021,11/10/2021,Completed
105288,2021,AG12,Sindh Health Department,School Renovation Program,Services,13425668,14070322,Direct,V259,Vendor Company 259,7/5/2021,3/18/2022,Completed
105289,2022,AG13,Sindh Education Department,Road Construction Project,Services,8305441,,Limited,V093,Vendor Company 93,2/17/2022,6/13/2022,Ongoing
105290,2024,AG15,KPK Health Department,School Renovation Program,Services,8328648,9128512,Limited,V119,Vendor Company 119,9/3/2024,6/13/2025,Completed
105291,2021,AG22,National Highway Authority,Public Transport Improvement,Works,17391603,21091126,Open,V365,Vendor Company 365,6/17/2021,2/2/2022,Completed
105292,2020,AG01,Ministry of Health,IT Infrastructure Upgrade,Works,14800848,15318633,Open,V284,Vendor Company 284,3/4/2020,7/15/2020,Completed
105293,2018,AG11,Punjab Works Department,Road Construction Project,Services,7120614,7612020,Open,V279,Vendor Company 279,8/1/2018,11/27/2018,Completed
105294,2024,AG20,Balochistan Planning Dept,Road Construction Project,Goods,13724552,16241068,Direct,V241,Vendor Company 241,8/2/2024,1/22/2025,Completed
105295,2020,AG26,Higher Education Commission,Public Transport Improvement,Works,4871092,,Open,V113,Vendor Company 113,2/15/2020,5/11/2020,Ongoing
105296,2022,AG06,Ministry of IT,Road Construction Project,Works,11814566,,Limited,V157,Vendor Company 157,10/12/2022,2/16/2023,Ongoing
105297,2021,AG20,Balochistan Planning Dept,Public Transport Improvement,Services,18422652,23664070,Open,V194,Vendor Company 194,9/24/2021,12/25/2021,Completed
105298,2020,AG07,Ministry of Housing,School Renovation Program,Services,7647931,,Limited,V460,Vendor Company 460,7/12/2020,5/8/2021,Ongoing
105299,2021,AG24,Pakistan Railways,School Renovation Program,Works,4563401,,Limited,V002,Vendor Company 2,6/2/2021,1/28/2022,Ongoing
105300,2023,AG06,Ministry of IT,Road Construction Project,Works,10947547,12727175,Open,V283,Vendor Company 283,12/15/2023,4/21/2024,Completed
105301,2022,AG04,Ministry of Transport,IT Infrastructure Upgrade,Works,13790735,,Open,V046,Vendor Company 46,4/4/2022,8/24/2022,Ongoing
105302,2022,AG19,Balochistan Education Department,Power Grid Maintenance,Works,5699479,,Limited,V019,Vendor Company 19,3/18/2022,12/19/2022,Ongoing
105303,2020,AG26,Higher Education Commission,IT Infrastructure Upgrade,Works,5414855,,Open,V248,Vendor Company 248,1/15/2020,9/16/2020,Ongoing
105304,2024,AG22,National Highway Authority,School Renovation Program,Goods,4244797,,Open,V466,Vendor Company 466,6/12/2024,11/8/2024,Ongoing
105305,2023,AG10,Punjab Education Department,Public Transport Improvement,Goods,4199462,4618156,Open,V119,Vendor Company 119,3/23/2023,5/22/2023,Completed
105306,2024,AG05,Ministry of Energy,IT Infrastructure Upgrade,Works,16844913,20477786,Open,V319,Vendor Company 319,7/13/2024,4/16/2025,Completed
105307,2023,AG16,KPK Education Department,Road Construction Project,Goods,8809588,,Open,V308,Vendor Company 308,2/22/2023,9/19/2023,Ongoing
105308,2024,AG27,Pakistan Customs,School Renovation Program,Works,5180175,5446460,Limited,V208,Vendor Company 208,10/8/2024,2/3/2025,Completed
105309,2023,AG23,WAPDA,Hospital Equipment Purchase,Goods,14927502,15993837,Limited,V103,Vendor Company 103,11/19/2023,5/24/2024,Completed
105310,2019,AG11,Punjab Works Department,Road Construction Project,Services,12119574,12807986,Open,V416,Vendor Company 416,6/23/2019,9/3/2019,Completed
105311,2020,AG05,Ministry of Energy,Power Grid Maintenance,Goods,14801748,,Direct,V139,Vendor Company 139,2/21/2020,7/11/2020,Ongoing
105312,2024,AG04,Ministry of Transport,School Renovation Program,Goods,19821181,19937545,Limited,V497,Vendor Company 497,1/18/2024,6/1/2024,Completed
105313,2019,AG05,Ministry of Energy,Hospital Equipment Purchase,Works,3189874,4015377,Direct,V385,Vendor Company 385,10/17/2019,5/6/2020,Completed
105314,2018,AG15,KPK Health Department,IT Infrastructure Upgrade,Works,16240303,,Limited,V147,Vendor Company 147,4/23/2018,8/7/2018,Ongoing
105315,2020,AG09,Punjab Health Department,Hospital Equipment Purchase,Goods,12343668,13590586,Open,V146,Vendor Company 146,12/16/2020,4/28/2021,Completed
105316,2019,AG21,Capital Development Authority,Road Construction Project,Services,18478572,21195346,Limited,V485,Vendor Company 485,8/15/2019,1/18/2020,Completed
105317,2024,AG28,Federal Board of Revenue,Public Transport Improvement,Goods,1573533,1570498,Limited,V315,Vendor Company 315,7/9/2024,2/8/2025,Completed
105318,2018,AG23,WAPDA,School Renovation Program,Goods,3042609,,Open,V221,Vendor Company 221,2/20/2018,11/7/2018,Ongoing
105319,2023,AG24,Pakistan Railways,Public Transport Improvement,Services,530685,687698,Limited,V484,Vendor Company 484,8/27/2023,11/21/2023,Completed
105320,2024,AG22,National Highway Authority,Public Transport Improvement,Services,4356910,4664413,Direct,V150,Vendor Company 150,9/20/2024,5/6/2025,Completed
105321,2021,AG11,Punjab Works Department,Road Construction Project,Services,14546634,14520345,Limited,V370,Vendor Company 370,7/7/2021,10/3/2021,Completed
105322,2024,AG22,National Highway Authority,Road Construction Project,Services,18603091,,Direct,V184,Vendor Company 184,8/8/2024,1/26/2025,Ongoing
105323,2018,AG28,Federal Board of Revenue,IT Infrastructure Upgrade,Services,17831465,22027139,Open,V217,Vendor Company 217,8/10/2018,12/16/2018,Completed
105324,2019,AG09,Punjab Health Department,Power Grid Maintenance,Services,17600924,19947641,Direct,V100,Vendor Company 100,3/4/2019,12/2/2019,Completed
105325,2019,AG18,Balochistan Health Department,Power Grid Maintenance,Works,7976548,9874551,Direct,V377,Vendor Company 377,9/1/2019,1/3/2020,Completed
105326,2018,AG10,Punjab Education Department,School Renovation Program,Works,1129587,1203966,Open,V168,Vendor Company 168,12/19/2018,7/31/2019,Completed
105327,2018,AG14,Sindh Works Department,IT Infrastructure Upgrade,Goods,5624218,,Open,V469,Vendor Company 469,4/28/2018,11/5/2018,Ongoing
105328,2022,AG04,Ministry of Transport,School Renovation Program,Goods,11321168,12604314,Direct,V432,Vendor Company 432,6/18/2022,3/15/2023,Completed
105329,2024,AG22,National Highway Authority,Power Grid Maintenance,Works,1887581,2188275,Limited,V020,Vendor Company 20,5/21/2024,8/21/2024,Completed
105330,2022,AG24,Pakistan Railways,IT Infrastructure Upgrade,Works,4100049,5083228,Open,V429,Vendor Company 429,12/8/2022,8/8/2023,Completed
105331,2022,AG19,Balochistan Education Department,IT Infrastructure Upgrade,Goods,10590187,13654116,Limited,V272,Vendor Company 272,12/27/2022,8/25/2023,Completed
105332,2022,AG26,Higher Education Commission,Hospital Equipment Purchase,Works,8738672,,Open,V166,Vendor Company 166,11/12/2022,8/4/2023,Ongoing
105333,2024,AG01,Ministry of Health,Power Grid Maintenance,Services,17478801,20838616,Open,V375,Vendor Company 375,6/27/2024,2/13/2025,Completed
105334,2018,AG14,Sindh Works Department,Hospital Equipment Purchase,Works,13224761,16037234,Limited,V452,Vendor Company 452,12/10/2018,10/4/2019,Completed
105335,2018,AG12,Sindh Health Department,School Renovation Program,Services,19362801,21866165,Limited,V250,Vendor Company 250,2/9/2018,4/25/2018,Completed
105336,2024,AG27,Pakistan Customs,Road Construction Project,Works,15858736,17816033,Limited,V326,Vendor Company 326,1/16/2024,9/5/2024,Completed
105337,2019,AG13,Sindh Education Department,School Renovation Program,Services,18602224,,Limited,V149,Vendor Company 149,1/7/2019,4/18/2019,Ongoing
105338,2018,AG05,Ministry of Energy,School Renovation Program,Services,3356336,3756870,Open,V037,Vendor Company 37,2/14/2018,6/26/2018,Completed
105339,2022,AG05,Ministry of Energy,School Renovation Program,Goods,9613125,11078917,Limited,V364,Vendor Company 364,6/26/2022,1/7/2023,Completed
105340,2021,AG11,Punjab Works Department,Road Construction Project,Services,3949368,4758378,Direct,V107,Vendor Company 107,12/25/2021,10/18/2022,Completed
105341,2022,AG03,Ministry of Education,IT Infrastructure Upgrade,Goods,15472673,16616646,Limited,V477,Vendor Company 477,8/11/2022,6/1/2023,Completed
105342,2024,AG21,Capital Development Authority,IT Infrastructure Upgrade,Works,3932358,4145949,Open,V437,Vendor Company 437,1/14/2024,7/11/2024,Completed
105343,2022,AG04,Ministry of Transport,Power Grid Maintenance,Services,19993197,,Limited,V030,Vendor Company 30,3/10/2022,7/20/2022,Ongoing
105344,2022,AG14,Sindh Works Department,Power Grid Maintenance,Goods,5535831,6907995,Open,V381,Vendor Company 381,3/8/2022,8/3/2022,Completed
105345,2020,AG16,KPK Education Department,Hospital Equipment Purchase,Goods,8033506,8483315,Limited,V180,Vendor Company 180,2/12/2020,5/30/2020,Completed
105346,2022,AG26,Higher Education Commission,Power Grid Maintenance,Services,8972408,10906540,Open,V048,Vendor Company 48,4/11/2022,9/26/2022,Completed
105347,2020,AG13,Sindh Education Department,Road Construction Project,Services,9496061,,Limited,V497,Vendor Company 497,12/25/2020,3/6/2021,Ongoing
105348,2023,AG25,Pakistan Post,Hospital Equipment Purchase,Services,7547148,8736676,Direct,V492,Vendor Company 492,8/15/2023,10/27/2023,Completed
105349,2021,AG13,Sindh Education Department,Road Construction Project,Goods,17478990,,Open,V500,Vendor Company 500,5/6/2021,7/31/2021,Ongoing
105350,2023,AG24,Pakistan Railways,Power Grid Maintenance,Services,9312594,9475233,Direct,V026,Vendor Company 26,5/1/2023,12/2/2023,Completed
105351,2024,AG29,Election Commission,Public Transport Improvement,Services,6246379,8089934,Direct,V416,Vendor Company 416,2/3/2024,8/21/2024,Completed
105352,2020,AG30,National Database Authority,IT Infrastructure Upgrade,Works,6986282,,Limited,V425,Vendor Company 425,4/17/2020,9/1/2020,Ongoing
105353,2023,AG12,Sindh Health Department,Public Transport Improvement,Goods,272779,254007,Direct,V488,Vendor Company 488,10/13/2023,2/14/2024,Completed
105354,2019,AG13,Sindh Education Department,Public Transport Improvement,Goods,19399204,,Direct,V196,Vendor Company 196,2/15/2019,11/12/2019,Ongoing
105355,2020,AG06,Ministry of IT,Public Transport Improvement,Goods,2633544,2632753,Open,V474,Vendor Company 474,6/2/2020,8/15/2020,Completed
105356,2020,AG22,National Highway Authority,IT Infrastructure Upgrade,Works,16723448,,Open,V079,Vendor Company 79,6/26/2020,3/1/2021,Ongoing
105357,2022,AG20,Balochistan Planning Dept,Power Grid Maintenance,Services,18788557,22047626,Limited,V070,Vendor Company 70,5/1/2022,10/21/2022,Completed
105358,2020,AG10,Punjab Education Department,School Renovation Program,Services,16043302,16498723,Direct,V009,Vendor Company 9,11/12/2020,5/22/2021,Completed
105359,2019,AG27,Pakistan Customs,Power Grid Maintenance,Goods,19912327,,Direct,V246,Vendor Company 246,6/19/2019,11/9/2019,Ongoing
105360,2022,AG09,Punjab Health Department,Public Transport Improvement,Services,17049981,22079820,Limited,V008,Vendor Company 8,12/28/2022,7/28/2023,Completed
105361,2021,AG12,Sindh Health Department,Public Transport Improvement,Goods,4649846,4892342,Direct,V199,Vendor Company 199,1/22/2021,4/26/2021,Completed
105362,2024,AG23,WAPDA,Power Grid Maintenance,Works,601739,,Limited,V459,Vendor Company 459,7/4/2024,11/23/2024,Ongoing
105363,2019,AG05,Ministry of Energy,Public Transport Improvement,Goods,19938813,24778071,Limited,V037,Vendor Company 37,7/17/2019,1/23/2020,Completed
105364,2022,AG26,Higher Education Commission,Hospital Equipment Purchase,Services,15274905,17681293,Limited,V368,Vendor Company 368,6/26/2022,10/15/2022,Completed
105365,2019,AG09,Punjab Health Department,Public Transport Improvement,Works,14926188,19001854,Direct,V338,Vendor Company 338,1/20/2019,10/22/2019,Completed
105366,2019,AG22,National Highway Authority,Power Grid Maintenance,Services,11991144,,Direct,V233,Vendor Company 233,4/14/2019,8/30/2019,Ongoing
105367,2024,AG30,National Database Authority,Power Grid Maintenance,Goods,15821124,19810409,Limited,V157,Vendor Company 157,1/27/2024,7/6/2024,Completed
105368,2020,AG10,Punjab Education Department,IT Infrastructure Upgrade,Goods,11117260,11393187,Limited,V388,Vendor Company 388,6/27/2020,11/6/2020,Completed
105369,2023,AG23,WAPDA,Road Construction Project,Goods,19409878,23297653,Limited,V193,Vendor Company 193,10/20/2023,7/10/2024,Completed
105370,2024,AG09,Punjab Health Department,IT Infrastructure Upgrade,Works,14074704,,Limited,V325,Vendor Company 325,2/19/2024,9/24/2024,Ongoing
105371,2019,AG29,Election Commission,Road Construction Project,Goods,17921742,,Direct,V452,Vendor Company 452,5/19/2019,9/27/2019,Ongoing
105372,2024,AG07,Ministry of Housing,School Renovation Program,Goods,6325074,6735199,Limited,V395,Vendor Company 395,12/7/2024,8/2/2025,Completed
105373,2019,AG23,WAPDA,Hospital Equipment Purchase,Services,1928176,2148414,Limited,V295,Vendor Company 295,5/8/2019,8/1/2019,Completed
105374,2019,AG23,WAPDA,Power Grid Maintenance,Services,16587811,,Limited,V263,Vendor Company 263,8/27/2019,3/26/2020,Ongoing
105375,2019,AG08,Ministry of Planning,Power Grid Maintenance,Goods,18955799,22701612,Open,V102,Vendor Company 102,9/15/2019,5/22/2020,Completed
105376,2023,AG02,Ministry of Finance,Road Construction Project,Goods,17881379,19184882,Open,V325,Vendor Company 325,12/1/2023,8/5/2024,Completed
105377,2022,AG06,Ministry of IT,Hospital Equipment Purchase,Services,817268,1017423,Open,V148,Vendor Company 148,6/16/2022,9/26/2022,Completed
105378,2021,AG12,Sindh Health Department,School Renovation Program,Services,12284196,12479502,Limited,V050,Vendor Company 50,1/16/2021,7/25/2021,Completed
105379,2020,AG01,Ministry of Health,Power Grid Maintenance,Works,16523895,19615828,Limited,V361,Vendor Company 361,3/22/2020,6/16/2020,Completed
105380,2021,AG17,KPK Works Department,IT Infrastructure Upgrade,Goods,18740308,20646037,Limited,V230,Vendor Company 230,5/8/2021,1/3/2022,Completed
105381,2020,AG10,Punjab Education Department,Hospital Equipment Purchase,Goods,18268506,,Direct,V299,Vendor Company 299,5/17/2020,2/2/2021,Ongoing
105382,2019,AG09,Punjab Health Department,Public Transport Improvement,Services,18864035,20739337,Open,V251,Vendor Company 251,4/14/2019,11/6/2019,Completed
105383,2018,AG23,WAPDA,Hospital Equipment Purchase,Works,4301472,,Direct,V276,Vendor Company 276,1/27/2018,9/12/2018,Ongoing
105384,2020,AG17,KPK Works Department,School Renovation Program,Works,2007069,,Direct,V412,Vendor Company 412,10/17/2020,6/11/2021,Ongoing
105385,2019,AG29,Election Commission,IT Infrastructure Upgrade,Works,17936272,,Limited,V237,Vendor Company 237,11/13/2019,5/2/2020,Ongoing
105386,2020,AG05,Ministry of Energy,School Renovation Program,Works,12075332,14585005,Open,V160,Vendor Company 160,12/24/2020,6/6/2021,Completed
105387,2018,AG13,Sindh Education Department,Road Construction Project,Works,7424755,,Limited,V016,Vendor Company 16,9/19/2018,3/28/2019,Ongoing
105388,2019,AG08,Ministry of Planning,Power Grid Maintenance,Works,19250149,20468583,Direct,V027,Vendor Company 27,4/9/2019,10/9/2019,Completed
105389,2024,AG30,National Database Authority,Public Transport Improvement,Works,19590156,,Limited,V422,Vendor Company 422,4/21/2024,12/1/2024,Ongoing
105390,2023,AG26,Higher Education Commission,Public Transport Improvement,Goods,9890666,10447943,Limited,V021,Vendor Company 21,8/12/2023,10/21/2023,Completed
105391,2020,AG21,Capital Development Authority,Power Grid Maintenance,Services,11750309,14232630,Limited,V492,Vendor Company 492,12/20/2020,4/3/2021,Completed
105392,2021,AG11,Punjab Works Department,Power Grid Maintenance,Services,16224339,18236266,Direct,V471,Vendor Company 471,4/1/2021,8/24/2021,Completed
105393,2020,AG01,Ministry of Health,IT Infrastructure Upgrade,Services,3407540,3504097,Open,V391,Vendor Company 391,4/14/2020,7/21/2020,Completed
105394,2024,AG14,Sindh Works Department,Road Construction Project,Services,14498592,15298083,Direct,V274,Vendor Company 274,9/3/2024,2/18/2025,Completed
105395,2024,AG11,Punjab Works Department,Road Construction Project,Services,868082,857700,Limited,V376,Vendor Company 376,10/7/2024,7/21/2025,Completed
105396,2023,AG20,Balochistan Planning Dept,Public Transport Improvement,Services,8865300,10487310,Limited,V046,Vendor Company 46,1/1/2023,9/6/2023,Completed
105397,2019,AG07,Ministry of Housing,School Renovation Program,Works,6135513,,Limited,V146,Vendor Company 146,1/6/2019,10/5/2019,Ongoing
105398,2021,AG22,National Highway Authority,School Renovation Program,Goods,3684945,,Direct,V213,Vendor Company 213,2/6/2021,11/27/2021,Ongoing
105399,2023,AG02,Ministry of Finance,Public Transport Improvement,Goods,10293961,12842398,Open,V041,Vendor Company 41,7/8/2023,3/29/2024,Completed
105400,2021,AG25,Pakistan Post,IT Infrastructure Upgrade,Goods,17914219,23023265,Direct,V240,Vendor Company 240,3/13/2021,8/9/2021,Completed
105401,2024,AG20,Balochistan Planning Dept,Power Grid Maintenance,Works,9722803,12030207,Limited,V380,Vendor Company 380,7/22/2024,11/8/2024,Completed
105402,2020,AG23,WAPDA,Road Construction Project,Goods,12062471,12399379,Limited,V002,Vendor Company 2,12/19/2020,8/23/2021,Completed
105403,2019,AG14,Sindh Works Department,Hospital Equipment Purchase,Services,11719335,13735835,Direct,V151,Vendor Company 151,5/26/2019,8/11/2019,Completed
105404,2019,AG18,Balochistan Health Department,Public Transport Improvement,Goods,160171,,Direct,V133,Vendor Company 133,6/25/2019,12/11/2019,Ongoing
105405,2019,AG07,Ministry of Housing,Public Transport Improvement,Works,11182432,13857994,Limited,V298,Vendor Company 298,7/5/2019,10/21/2019,Completed
105406,2020,AG21,Capital Development Authority,IT Infrastructure Upgrade,Services,8662726,,Direct,V422,Vendor Company 422,9/28/2020,1/13/2021,Ongoing
105407,2023,AG29,Election Commission,IT Infrastructure Upgrade,Goods,13787287,17581199,Open,V148,Vendor Company 148,1/2/2023,4/9/2023,Completed
105408,2019,AG23,WAPDA,Power Grid Maintenance,Goods,9723832,,Direct,V457,Vendor Company 457,7/28/2019,11/14/2019,Ongoing
105409,2021,AG23,WAPDA,IT Infrastructure Upgrade,Works,15910991,19625997,Limited,V397,Vendor Company 397,7/23/2021,1/28/2022,Completed
105410,2021,AG07,Ministry of Housing,Road Construction Project,Works,7307559,9314428,Direct,V261,Vendor Company 261,12/26/2021,4/17/2022,Completed
105411,2020,AG20,Balochistan Planning Dept,Road Construction Project,Goods,19246770,21861250,Direct,V125,Vendor Company 125,6/12/2020,8/12/2020,Completed
105412,2021,AG08,Ministry of Planning,IT Infrastructure Upgrade,Works,14074244,15363521,Direct,V134,Vendor Company 134,2/9/2021,6/27/2021,Completed
105413,2021,AG02,Ministry of Finance,Road Construction Project,Goods,16176997,19169752,Open,V320,Vendor Company 320,2/28/2021,9/13/2021,Completed
105414,2022,AG27,Pakistan Customs,Public Transport Improvement,Works,16756803,,Direct,V232,Vendor Company 232,10/20/2022,12/27/2022,Ongoing
105415,2023,AG28,Federal Board of Revenue,Public Transport Improvement,Works,5269489,5869051,Direct,V309,Vendor Company 309,12/21/2023,4/23/2024,Completed
105416,2023,AG20,Balochistan Planning Dept,School Renovation Program,Goods,9095343,9261146,Direct,V324,Vendor Company 324,3/24/2023,10/23/2023,Completed
105417,2020,AG28,Federal Board of Revenue,Power Grid Maintenance,Works,2480472,,Open,V304,Vendor Company 304,5/14/2020,11/7/2020,Ongoing
105418,2021,AG09,Punjab Health Department,School Renovation Program,Services,3373312,4114847,Direct,V460,Vendor Company 460,10/14/2021,1/19/2022,Completed
105419,2019,AG01,Ministry of Health,Public Transport Improvement,Services,19078128,20121207,Direct,V173,Vendor Company 173,4/26/2019,6/30/2019,Completed
105420,2024,AG04,Ministry of Transport,Hospital Equipment Purchase,Services,455106,443211,Direct,V039,Vendor Company 39,12/13/2024,8/13/2025,Completed
105421,2022,AG30,National Database Authority,Road Construction Project,Works,16325202,,Open,V030,Vendor Company 30,2/13/2022,9/15/2022,Ongoing
105422,2022,AG16,KPK Education Department,Power Grid Maintenance,Works,17097540,,Direct,V267,Vendor Company 267,12/24/2022,4/25/2023,Ongoing
105423,2019,AG25,Pakistan Post,Hospital Equipment Purchase,Works,19589733,23133408,Open,V115,Vendor Company 115,6/7/2019,8/26/2019,Completed
105424,2024,AG08,Ministry of Planning,Road Construction Project,Services,570343,599303,Direct,V135,Vendor Company 135,7/23/2024,3/21/2025,Completed
105425,2018,AG16,KPK Education Department,IT Infrastructure Upgrade,Goods,13573628,16451968,Limited,V466,Vendor Company 466,1/14/2018,4/9/2018,Completed
105426,2019,AG06,Ministry of IT,IT Infrastructure Upgrade,Works,7001554,,Open,V370,Vendor Company 370,10/25/2019,2/10/2020,Ongoing
105427,2022,AG26,Higher Education Commission,Public Transport Improvement,Works,13570629,17312162,Direct,V062,Vendor Company 62,5/22/2022,2/15/2023,Completed
105428,2024,AG05,Ministry of Energy,Public Transport Improvement,Goods,18391915,,Open,V290,Vendor Company 290,3/22/2024,5/22/2024,Ongoing
105429,2020,AG15,KPK Health Department,School Renovation Program,Works,8490825,,Open,V334,Vendor Company 334,12/16/2020,3/5/2021,Ongoing
