vendor_code,vendor_name,vendor_country,vendor_type
V1352,Universal Services,International,Contractor
V1353,Global International,Singapore,Contractor
V1354,United Industries,India,Contractor
V1355,Apex Holdings,UK,Contractor
V1356,Dynamic Logistics,Italy,Contractor
V1357,United Engineering,UK,Contractor
V1358,United Systems,Canada,Supplier
V1359,Prime Group,South Korea,Supplier
V1360,Global Services,UAE,Supplier
V1361,Global Industries,Singapore,Supplier
V1362,Atlas Enterprises,Netherlands,Supplier
V1363,Pioneer Enterprises,USA,Contractor
V1364,Nova Services,Malaysia,Supplier
V1365,Vertex Solutions,India,Supplier
V1366,Atlas Engineering,Australia,Contractor
V1367,National Systems,Saudi Arabia,Supplier
V1368,Global Holdings,South Korea,Contractor
V1369,NextGen Technologies,Japan,Contractor
V1370,Atlas Group,South Korea,Contractor
V1371,Universal Systems,Malaysia,Contractor
V1372,Prime Solutions,Turkey,Supplier
V1373,Elite International,International,Supplier
V1374,Apex Corporation,Canada,Contractor
V1375,Universal Corporation,Canada,Supplier
V1376,Pioneer Solutions,Netherlands,Contractor
V1377,Prime Logistics,International,Contractor
V1378,Vertex Services,International,Contractor
V1379,Atlas Logistics,Singapore,Supplier
V1380,Universal Industries,India,Supplier
V1381,Prime Solutions,Saudi Arabia,Contractor
V1382,Infinity Technologies,Malaysia,Contractor
V1383,Dynamic Logistics,Germany,Supplier
V1384,Elite Systems,UK,Supplier
V1385,Universal Corporation,Spain,Contractor
V1386,Elite Corporation,Japan,Supplier
V1387,Atlas Enterprises,International,Contractor
V1388,Future Systems,USA,Contractor
V1389,Atlas Enterprises,Qatar,Contractor
V1390,Apex Systems,France,Contractor
V1391,Atlas Engineering,South Korea,Contractor
V1392,Infinity Engineering,China,Supplier
V1393,Apex International,Germany,Supplier
V1394,Infinity International,Malaysia,Contractor
V1395,Advanced International,China,Supplier
V1396,Advanced Industries,Italy,Supplier
V1397,United Solutions,Turkey,Contractor
V1398,Infinity Group,UAE,Contractor
V1399,NextGen Technologies,Germany,Contractor
V1400,Infinity Logistics,Germany,Supplier
V1401,Global Enterprises,International,Supplier
V1402,Prime Holdings,Qatar,Contractor
V1403,Advanced Services,Canada,Supplier
V1404,Pioneer Engineering,Malaysia,Supplier
V1405,Vertex Systems,Germany,Contractor
V1406,Nova Corporation,Netherlands,Contractor
V1407,Prime International,Spain,Contractor
V1408,Vertex Group,Turkey,Contractor
V1409,Atlas Holdings,Netherlands,Contractor
V1410,Dynamic Technologies,UAE,Supplier
V1411,United Enterprises,Japan,Contractor
V1412,Universal Systems,Malaysia,Supplier
V1413,Global Technologies,France,Contractor
V1414,Prime Corporation,Japan,Supplier
V1415,Global Holdings,USA,Supplier
V1416,Elite Logistics,USA,Supplier
V1417,Apex Industries,Italy,Supplier
V1418,United Group,France,Supplier
V1419,Advanced Industries,Canada,Supplier
V1420,Pioneer Services,USA,Contractor
V1421,Future Industries,Malaysia,Contractor
V1422,Atlas Solutions,UK,Contractor
V1423,Apex Enterprises,India,Supplier
V1424,Pioneer Technologies,Canada,Contractor
V1425,Elite Technologies,Japan,Contractor
V1426,Prime Technologies,Singapore,Supplier
V1427,Elite Technologies,Turkey,Contractor
V1428,National Logistics,Turkey,Supplier
V1429,NextGen Systems,China,Supplier
V1430,Prime Services,India,Contractor
V1431,National Group,UAE,Supplier
V1432,NextGen Industries,Italy,Supplier
V1433,Atlas Services,Australia,Supplier
V1434,Universal Engineering,UK,Supplier
V1435,Vertex Systems,Singapore,Contractor
V1436,Dynamic Solutions,France,Contractor
V1437,Future Logistics,UK,Supplier
V1438,Pioneer Logistics,USA,Contractor
V1439,Vertex Services,Italy,Contractor
V1440,National Services,International,Contractor
V1441,United International,China,Contractor
V1442,United Holdings,UK,Contractor
V1443,Dynamic Technologies,International,Contractor
V1444,Advanced Systems,Malaysia,Contractor
V1445,Future Solutions,International,Supplier
V1446,Dynamic Corporation,International,Supplier
V1447,Future Logistics,Saudi Arabia,Supplier
V1448,Apex Enterprises,Germany,Contractor
V1449,Universal Group,Netherlands,Contractor
V1450,United Systems,South Korea,Supplier
V1451,Global Systems,Japan,Supplier
V1452,Prime Group,UAE,Contractor
V1453,Global Technologies,International,Supplier
V1454,Future Holdings,Malaysia,Contractor
V1455,Future Enterprises,Japan,Supplier
V1456,Advanced Technologies,India,Contractor
V1457,Future Holdings,France,Contractor
V1458,NextGen Technologies,Singapore,Contractor
V1459,United Logistics,Germany,Supplier
V1460,Infinity Systems,Germany,Contractor
V1461,Future International,Canada,Contractor
V1462,Nova Group,Turkey,Supplier
V1463,Advanced Systems,Italy,Contractor
V1464,Atlas Technologies,Turkey,Contractor
V1465,Pioneer Industries,UAE,Supplier
V1466,Apex Logistics,USA,Supplier
V1467,Pioneer Engineering,Malaysia,Contractor
V1468,NextGen International,UK,Contractor
V1469,Advanced Technologies,International,Contractor
V1470,Universal Group,International,Contractor
V1471,Atlas Logistics,Saudi Arabia,Supplier
V1472,NextGen Logistics,Japan,Contractor
V1473,Vertex Logistics,UK,Contractor
V1474,Universal Logistics,UAE,Supplier
V1475,Nova Solutions,France,Contractor
V1476,Pioneer Enterprises,Canada,Supplier
V1477,Global Solutions,Singapore,Supplier
V1478,United Services,Canada,Supplier
V1479,Vertex Corporation,Spain,Contractor
V1480,Nova Corporation,Netherlands,Supplier
V1481,Future Technologies,Germany,Supplier
V1482,Universal Solutions,USA,Supplier
V1483,NextGen Systems,Qatar,Supplier
V1484,Prime Corporation,Netherlands,Contractor
V1485,Apex Holdings,Qatar,Contractor
V1486,National Systems,International,Supplier
V1487,Prime Logistics,Qatar,Supplier
V1488,Infinity Engineering,Singapore,Supplier
V1489,Atlas Holdings,Canada,Supplier
V1490,Prime Solutions,International,Contractor
V1491,Dynamic Industries,Malaysia,Supplier
V1492,Atlas Technologies,Canada,Contractor
V1493,Pioneer Holdings,Saudi Arabia,Supplier
V1494,Atlas Services,Japan,Contractor
V1495,Future Corporation,Italy,Supplier
V1496,Vertex International,Japan,Contractor
V1497,Infinity Group,Saudi Arabia,Supplier
V1498,Global Solutions,Turkey,Contractor
V1499,Dynamic Corporation,Netherlands,Supplier
V1500,Infinity Corporation,China,Contractor
